Перед словом, начинающимся на:;ЕХ;Е;ЕХ, абсолютные числа;Е, абсолютные числа
a;100%;0%;22;0
b;100%;0%;8;0
c;96%;4%;74;3
d;100%;0%;9;0
e;100%;0%;42;0
f;92%;8%;22;2
g;100%;0%;8;0
h;100%;0%;36;0
i;100%;0%;23;0
l;96%;4%;22;1
m;100%;0%;19;0
n;92%;8%;11;1
o;100%;0%;63;0
p;100%;0%;54;0
q;93%;7%;13;1
r;65%;35%;13;7
s;100%;0%;27;0
t;100%;0%;11;0
u;100%;0%;10;0
v;89%;11%;8;1
;;;;
a;100%;0%;301;0
b;100%;0%;21;0
c;83%;17%;189;39
d;94%;6%;81;5
e;100%;0%;149;0
f;85%;15%;66;12
g;90%;10%;27;3
h;100%;0%;128;0
i;99%;1%;194;1
l;95%;5%;62;3
m;85%;15%;94;16
n;81%;19%;29;7
o;100%;0%;99;0
p;96%;4%;279;11
q;98%;2%;78;2
r;53%;47%;47;41
s;97%;3%;219;6
t;88%;12%;87;12
u;100%;0%;95;0
v;100%;0%;21;0
