;Цезарь;;;;Тит Ливий;;;
;ЕХ, %;Е, %;ЕХ, абсолютное количество;Е, абсолютное количество;ЕХ;Е;ЕХ, абсолютное количество;Е, абсолютное количество
b;100%;0%;8;0;100%;0%;21;0
c;96%;4%;74;3;83%;17%;189;39
d;100%;0%;9;0;94%;6%;81;5
f;92%;8%;22;2;85%;15%;66;12
g;100%;0%;8;0;90%;10%;27;3
h;100%;0%;36;0;100%;0%;128;0
l;96%;4%;22;1;95%;5%;62;3
m;100%;0%;19;0;85%;15%;94;16
n;92%;8%;11;1;81%;19%;29;7
p;100%;0%;54;0;96%;4%;279;11
q;93%;7%;13;1;98%;2%;78;2
r;65%;35%;13;7;53%;47%;47;41
s;100%;0%;27;0;97%;3%;219;6
t;100%;0%;11;0;88%;12%;87;12
v;89%;11%;8;1;100%;0%;21;0
;;;;;;;;
